Unit 1 3-2,unit-1-3-2
"Till later, then",До скоро тогава
May I,Мога ли
husband,съпруг
It's my pleasure,За мен е удоволствие
pleasure,удоволствие
these,тези
our,наш
daughter,дъщеря
her,нейн
kid brother,по-малък брат
brother,брат
son,син
he,той
very,много
funny,забаваен
Dad,тате,татко
"Well, come on","Е, хайде"
you two,вие двамата
Say hello to,поздрави на,кажи здравей на
say,казвам
their,техен
caravan,каравана
next door,съседен
on holiday,в отпуска
aren't we,нали
dog,куче
"We must be off, I'm afraid",За съжаление трябва да тръгваме
It was nice talking to you,Приятно ми беше да се запознаем,Радвам се че си поговорихме
talk,говоря
See you later,До по-късно,До скоро
see,виждам
Have a nice day,Приятен ден
have,имам
day,ден
